U16;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
190001;Head of State;アントラニク・オザニアン;35;FA;Popular Figurehead;High;M515001;x
190002;Head of Government;アントラニク・オザニアン;35;FA;Old General;High;M515001;x
190003;Foreign Minister;ボゴス・ヌバル・パシャ;35;FA;Ideological Crusader;High;M515003;x
190004;Minister of Armament;ハゴップ・アンドニアン;35;FA;Military Entrepreneur;Medium;M515004;x
190005;Minister of Security;カレク・パステルマジャン;35;FA;Prince of Terror;Medium;M515005;x
190006;Head of Military Intelligence;ジャック・アガザリアン;35;PA;Dismal Enigma;Medium;M515006;x
190007;Chief of Staff;ポール・ホフマン;35;FA;School of Mass Combat;Medium;M515007;x
190008;Chief of Army;アントラニク・オザニアン;35;FA;Guns and Butter Doctrine;Medium;M515008;x
190009;Chief of Navy;ヴィルヘルム・ベッチェ;35;FA;Indirect Approach Doctrine;Medium;M515009;x
190010;Chief of Air Force;ハンス・クライン;35;FA;Army Aviation Doctrine;Medium;M515010;x
190011;Foreign Minister;ベルク・ケレステシアン;35;PA;Great Compromiser;High;M515011;x
190012;Foreign Minister;ジヴァン・ハンパルスミアン;35;FA;The Cloak N Dagger Schemer;High;M515012;x
190013;Foreign Minister;ロマノス神父;35;NS;Iron Fisted Brute;High;M515013;x
190014;Minister of Armament;ベルク・ケレステシアン;35;PA;Administrative Genius;Medium;M515011;x
190015;Minister of Armament;アルシャク・K・シュマヴォニアン;35;NS;Resource Industrialist;Medium;M515015;x
190016;Minister of Armament;ディクラン・アラフィアン;35;FA;laissez-faire capitalist;Medium;M515016;x
190017;Minister of Security;ガレキン・ヌジュデク;35;NS;Efficient Sociopath;Medium;M515017;x
190018;Minister of Security;ホヴァネス神父;35;NS;Crime Fighter;Medium;M515018;x
190019;Minister of Security;アラム・アンドニアン;35;FA;Compassionate Gentleman;Medium;M515019;x
190020;Minister of Security;パトリアーク・ララザール;35;PA;Man of the People;Medium;M515020;x
190021;Head of Military Intelligence;キント・オセビアン;35;NS;Industrial Specialist;Medium;M515021;x
190022;Head of Military Intelligence;ヴァルタン・シャレンツ;35;PA;Technical Specialist;Medium;M515022;x
190023;Head of Military Intelligence;クリスタポル神父;35;FA;Logistics Specialist;Medium;M515023;x
190024;Chief of Army;ミサク・ババジャニアン;35;FA;Armoured Spearhead Doctrine;Medium;M515024;x
190025;Chief of Army;ドラスタマット・カナヤン;35;NS;Elastic Defence Doctrine;Medium;M515025;x
190026;Chief of Navy;ベルジュ・イサハキアン;35;FA;Decisive Naval Battle Doctrine;Medium;M515026;x
190027;Chief of Air Force;ガラベド・アラフィアン;35;PA;Vertical Envelopment Doctrine;Medium;M515027;x
190028;Chief of Air Force;サルキス・ペトリキアン;35;FA;Air Superiority Doctrine;Medium;M515028;x
191001;Head of State;ニザム・ナリマノフ;35;LWR;Stern Imperialist;High;M516001;x
191002;Head of Government;ファラズ・グゼイノフ;35;LWR;Backroom Backstabber;High;M516002;x
191003;Foreign Minister;スレイマン・ルスタム;35;LWR;The Cloak N Dagger Schemer;High;M516003;x
191004;Minister of Armament;イリアス・アファンディエフ;35;LWR;Theoretical Scientist;Medium;M516004;x
191005;Minister of Security;アラシュ・ブルブル;35;LWR;Compassionate Gentleman;Medium;M516005;x
191006;Head of Military Intelligence;ラスル・レザ;35;LWR;Industrial Specialist;Medium;M516006;x
191007;Chief of Staff;マフムド・ヌリ・ベルケズ;35;LWR;School of Mass Combat;Medium;M516007;x
191008;Chief of Army;カリル・マメドフ;35;LWR;Elastic Defence Doctrine;Medium;M516008;x
191009;Chief of Navy;カンビズ・クラスノシャプカ;35;LWR;Open Seas Doctrine;High;M516009;x
191010;Chief of Air Force;グルゲン・ヴォスカン・カマリアン;35;LWR;Air Superiority Doctrine;Medium;M516010;x
191011;Head of State;ラジブ・クルベンジアン;35;ML;Barking Buffoon;High;M516011;x
191012;Head of Government;スレイマン・ルスタム;35;SD;Smiling Oilman;High;M516003;x
191013;Head of Government;アラシュ・ブルブル;35;ML;Flamboyant Tough Guy;Medium;M516005;x
191014;Foreign Minister;カスラタム・ナリマノフ;35;LWR;General Staffer;High;M516014;x
191015;Foreign Minister;ママド・アミン・ラスルザード;35;LWR;Biased Intellectual;High;M516015;x
