U74;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700400;Head of State;王克敏 (ワン・ケミン);35;PA;Weary Stiffneck;Medium;M52012;x
700401;Head of Government;湯爾和 (タン・アルホー);35;PA;Happy Amateur;Medium;M700401;x
700402;Foreign Minister;王克敏 (ワン・ケミン);35;PA;The Cloak N Dagger Schemer;Medium;M52012;x
700403;Minister of Armament;王揖唐 (ワン・イータン);35;PA;Military Entrepreneur;Medium;M700403;x
700404;Minister of Security;王克敏 (ワン・ケミン);35;PA;Crime Fighter;Medium;M52012;x
700405;Head of Military Intelligence;斉燮元 (チ・シーユアン);35;PA;Logistics Specialist;Medium;M52017;x
700406;Chief of Staff;斉燮元 (チ・シーユアン);35;PA;School of Fire Support;Medium;M52017;x
700407;Chief of Army;斉燮元 (チ・シーユアン);35;PA;Decisive Battle Doctrine;Medium;M52017;x
700408;Chief of Navy;斉燮元 (チ・シーユアン);35;PA;Undistinguished Suit;Medium;M52017;x
700409;Chief of Air Force;斉燮元 (チ・シーユアン);35;PA;Air Superiority Doctrine;Medium;M52017;x
700420;Chief of Staff;寺内寿一;35;PA;School of Fire Support;Medium;M5039;x
700421;Chief of Staff;杉山元;38;PA;School of Defence;Medium;M5155;x
700422;Chief of Staff;多田駿;39;PA;School of Defence;Medium;L101170;x
700423;Chief of Staff;岡村寧次;41;PA;School of Psychology;Medium;M5006;x
700424;Chief of Staff;岡部直三郎;44;PA;School of Defence;Medium;L101138;x
700425;Chief of Staff;下村定;44;PA;School of Defence;Medium;L101160;x
700430;Chief of Army;香月清司;35;PA;Static Defence Doctrine;Medium;L101082;x
700431;Chief of Army;梅津美治郎;38;PA;Decisive Battle Doctrine;Medium;M5157;x
700432;Chief of Army;篠塚義男;39;PA;Static Defence Doctrine;Medium;M700432;x
700433;Chief of Army;岩松義雄;41;PA;Elastic Defence Doctrine;Medium;M700433;x
700434;Chief of Army;吉本貞一;42;PA;Static Defence Doctrine;Medium;M700434;x
700435;Chief of Army;澄田貝來四郎;44;PA;Static Defence Doctrine;Medium;L101165;x
700440;Chief of Navy;豐田副武;35;PA;Decisive Naval Battle Doctrine;Medium;M5171;x
700441;Chief of Navy;日比野正治;38;PA;Decisive Naval Battle Doctrine;Medium;M700441;x
700442;Chief of Navy;野村直那;39;PA;Decisive Naval Battle Doctrine;Medium;L101266;x
700443;Chief of Navy;清水光美;40;PA;Decisive Naval Battle Doctrine;Medium;L101159;x
700444;Chief of Navy;杉山六蔵;41;PA;Decisive Naval Battle Doctrine;Medium;M700444;x
700445;Chief of Navy;河瀬四郎;41;PA;Decisive Naval Battle Doctrine;Medium;M700445;x
700450;Chief of Air Force;寺内寿一;35;PA;Army Aviation Doctrine;Medium;M5039;x
700451;Chief of Air Force;杉山元;38;PA;Army Aviation Doctrine;Medium;M5155;x
700452;Chief of Air Force;多田駿;39;PA;Army Aviation Doctrine;Medium;L101170;x
700453;Chief of Air Force;岡村寧次;41;PA;Army Aviation Doctrine;Medium;M5006;x
700454;Chief of Air Force;岡部直三郎;44;PA;Army Aviation Doctrine;Medium;L101138;x
700455;Chief of Air Force;下村定;44;PA;Army Aviation Doctrine;Medium;L101160;x
700410;Minister of Security;斉燮元 (チ・シーユアン);35;PA;Man of the People;Medium;M52017;x
700411;Head of Government;王克敏 (ワン・ケミン);35;PA;Naive Optimist;Medium;M52012;x
700412;Minister of Armament;河本大作;41;PA;Resource Industrialist;Medium;M700412;x
700460;Head of State;閻錫山 (イェン・シーシャン);35;PA;Ruthless Powermonger;High;L50348;x
700461;Head of Government;閻錫山 (イェン・シーシャン);35;PA;Smiling Oilman;High;L50348;x
700462;Minister of Security;河本大作;41;PA;Efficient Sociopath;Medium;M700412;x
700464;Chief of Navy;ドミトリー・クロルチェフ;39;PA;Base Control Doctrine;Medium;M503009;x
