U17;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
60100;シルクロード武器密輸ルート;T3701;5;1930;1970;technical_efficiency;general_equipment;artillery;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60101;トルキスタン総督府;T60101;3;1970;1970;training;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60102;タシュケント工業団地;T10504;4;1930;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60103;ユーラシア国立大学;T3732;5;1970;1970;mechanics;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60104;カラガンダ航空施設;T13100;4;1970;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60105;ルブツォフスク機械製造工場;T15401;5;1970;1970;mechanics;technical_efficiency;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60106;タシケント航空機製造機構;T14200;4;1970;1970;aeronautics;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60107;トルクメニ・エアクラフト社;T1000;2;1970;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60108;ソ連軍事顧問;T60108;4;1930;1970;infantry_focus;large_unit_tactics;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60109;フルンゼ軍事大学;T11702;7;1970;1970;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60110;イヴァン・セルゲエフ;T15403;1;1930;1970;naval_artillery;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60111;アルブス・カーン・アルセン;T15404;2;1930;1970;aircraft_testing;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
