;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
RT_ARTILLERY;火砲;;;;;;;;;;X
RT_MECHANICS;機械工学;;;;;;;;;;X
RT_ELECTRONICS;電子工学;;;;;;;;;;X
RT_CHEMISTRY;化学;;;;;;;;;;X
RT_TRAINING;訓練;;;;;;;;;;X
RT_GENERAL_EQUIPMENT;一般装備;;;;;;;;;;X
RT_ROCKETRY;ロケット工学;;;;;;;;;;X
RT_NAVAL_ENGINEERING;海軍工学;;;;;;;;;;X
RT_AERONAUTICS;航空学;;;;;;;;;;X
RT_NUCLEAR_PHYSICS;核物理学;;;;;;;;;;X
RT_NUCLEAR_ENGINEERING;核工学;;;;;;;;;;X
RT_MANAGEMENT;管理;;;;;;;;;;X
RT_INDUSTRIAL_ENGINEERING;産業工学;;;;;;;;;;X
RT_MATHEMATICS;数学;;;;;;;;;;X
RT_SMALL_UNIT_TACTICS;小規模部隊戦術;;;;;;;;;;X
RT_LARGE_UNIT_TACTICS;大規模部隊戦術;;;;;;;;;;X
RT_CENTRALIZED_EXECUTION;集中実行;;;;;;;;;;X
RT_DECENTRALIZED_EXECUTION;分散実行;;;;;;;;;;X
RT_TECHNICAL_EFFICIENCY;技術効率;;;;;;;;;;X
RT_INDIVIDUAL_COURAGE;各自の勇気;;;;;;;;;;X
RT_INFANTRY_FOCUS;歩兵重視;;;;;;;;;;X
RT_COMBINED_ARMS_FOCUS;諸兵科連合部隊重視;;;;;;;;;;X
RT_LARGE_UNIT_FOCUS;大規模部隊重視;;;;;;;;;;X
RT_NAVAL_ARTILLERY;艦砲;;;;;;;;;;X
RT_NAVAL_TRAINING;海軍訓練;;;;;;;;;;X
RT_AIRCRAFT_TESTING;航空機試験;;;;;;;;;;X
RT_FIGHTER_TACTICS;戦闘機戦術;;;;;;;;;;X
RT_BOMBER_TACTICS;爆撃機戦術;;;;;;;;;;X
RT_LARGE_TASKFORCE_TACTICS;大規模機動部隊戦術;;;;;;;;;;X
RT_SMALL_TASKFORCE_TACTICS;小規模機動部隊戦術;;;;;;;;;;X
RT_SEAMANSHIP;操船術;;;;;;;;;;X
RT_PILOTING;沿岸航法;;;;;;;;;;X
RT_SUBMARINE_TACTICS;潜水艦戦術;;;;;;;;;;X
RT_CARRIER_TACTICS;空母戦術;;;;;;;;;;X
;;;;;;;;;;;X
EVT_8020_DESC;秘密計画が1つの成果をもたらした。陸軍の兵器研究所が研究を行い、その理論的成果を参謀本部に提出したのだ。さらに実証研究を進めれば、陸上戦艦の開発に道が開かれるだろう。;;;;;;;;;;X
EVT_8021_DESC;秘密計画が1つの成果をもたらした。原子爆弾研究者と重工業メーカーが共同研究を行い、その理論的成果を参謀本部に提出したのだ。さらに実証研究を進めれば、核爆弾の大量生産の道が開かれるだろう。;;;;;;;;;;X
;;;;;;;;;;;X
EVT_8100_DECISION_DESC;「国土開発」の産業技術を研究したことにより、資金を投じて国土から算出される工業用資源、即ちエネルギー・鉄・希少資源の生産量を増やすことが出来ます。資金500から資金を投じることができ、これを資金1000、資金2000と増やすと追加される量は2倍、5倍と増加します。また、国土開発の技術がさらに進むと開発効率は飛躍的に上昇し、40年時点では資金500から増産できる工業用資源の量はIC0.5分ですが、60年には同じ資金からIC4分の資源を取り出すことが出来ます。;;;;;;;;;;X
;;;;;;;;;;;X
EVT_8100_NAME;鉄鉱山への投資;;;;;;;;;;X
EVT_8100_DESC;資金を投じて、鉄鉱山への投資を行うことができます。投資に利用された資金は、既存の鉱山の拡張や新規鉱山の探索に利用されます。国土から算出される屑鉄他各種鉄の産出量を増やすことができれば、我が国は他国の資源に頼らず豊かになることが出来るでしょう。;;;;;;;;;;X
EVT_8100_ACTA;小規模の投資を行う;;;;;;;;;;X
EVT_8100_ACTB;中規模の投資を行う;;;;;;;;;;X
EVT_8100_ACTC;大規模の投資を行う;;;;;;;;;;X
EVT_8101_NAME;鉄鉱山の拡張完了;;;;;;;;;;X
EVT_8101_DESC;鉱山の拡張工事が完了した。より多くの鉄資源を国内で自給することが出来るようになった。;;;;;;;;;;X
ACTION_NAME_EXCELLENT;大変結構！;Excellent!;;;;;;;;;X
;;;;;;;;;;;X
EVT_8110_NAME;工業用エネルギー開発への投資;;;;;;;;;;X
EVT_8110_DESC;資金を投じて、各種の大型発電所の改良、工場の発電設備への投資、または石炭鉱業開発を行うことができます。国内で多くのエネルギーを自給することが出来るようになれば、より多くの工業需要に対応できます。また、既存の石炭の供給に余裕ができるならば、そこから石油の代替燃料を生産する余裕も出来るでしょう。;;;;;;;;;;X
EVT_8110_ACTA;小規模の投資を行う;;;;;;;;;;X
EVT_8110_ACTB;中規模の投資を行う;;;;;;;;;;X
